idCliente,tipoCliente,ingresosMensuales,totalDeudasActuales,estadoSolicitud
CL969,PREMIUM,12868,4384,RECHAZADO
CL487,REGULAR,13817,6913,APROBADO
CL692,PREMIUM,8838,8010,PRE_APROBADO
CL306,REGULAR,6374,2029,RECHAZADO
CL124,BLACK,11774,11745,APROBADO
CL323,PREMIUM,14409,8684,PRE_APROBADO
CL141,REGULAR,12884,7821,RECHAZADO
CL342,PREMIUM,5685,6169,PRE_APROBADO
CL368,PREMIUM,3019,2143,APROBADO
CL023,REGULAR,12858,6997,RECHAZADO
CL542,REGULAR,2164,2128,PRE_APROBADO
CL803,REGULAR,9490,14226,PRE_APROBADO
CL263,REGULAR,7704,3124,RECHAZADO
CL580,REGULAR,4281,2871,APROBADO
CL035,PREMIUM,14544,2490,RECHAZADO
CL461,REGULAR,13848,8922,APROBADO
CL059,REGULAR,12012,678,RECHAZADO
CL342,BLACK,1805,1308,APROBADO
CL836,REGULAR,1041,1012,PRE_APROBADO
CL254,REGULAR,6121,2907,APROBADO
CL830,REGULAR,13875,16043,RECHAZADO
CL810,PREMIUM,14593,12502,RECHAZADO
CL830,REGULAR,13414,13212,PRE_APROBADO
CL532,PREMIUM,13669,2220,RECHAZADO
CL993,PREMIUM,8004,11828,PRE_APROBADO
CL255,REGULAR,10924,11373,PRE_APROBADO
CL467,PREMIUM,11559,13762,PRE_APROBADO
CL568,REGULAR,9909,3246,RECHAZADO
CL775,PREMIUM,11757,4842,PRE_APROBADO
CL420,PREMIUM,3790,1313,APROBADO
CL763,PREMIUM,1373,1267,PRE_APROBADO
CL869,PREMIUM,8864,6935,RECHAZADO
CL148,PREMIUM,3822,1345,PRE_APROBADO
CL939,PREMIUM,4706,1732,RECHAZADO
CL807,PREMIUM,2377,270,PRE_APROBADO
CL521,REGULAR,14870,11877,PRE_APROBADO
CL893,PREMIUM,7068,8971,RECHAZADO
CL587,REGULAR,14373,2131,PRE_APROBADO
CL223,PREMIUM,9241,7163,RECHAZADO
CL411,PREMIUM,1380,2286,PRE_APROBADO
CL647,REGULAR,4983,7266,APROBADO
CL315,REGULAR,3486,2771,APROBADO
CL299,PREMIUM,8959,10806,APROBADO
CL577,PREMIUM,5559,4387,PRE_APROBADO
CL050,REGULAR,10097,2544,APROBADO
CL361,REGULAR,9261,8414,RECHAZADO
CL417,PREMIUM,14875,178,PRE_APROBADO
CL880,PREMIUM,11569,9280,PRE_APROBADO
CL230,PREMIUM,2616,1723,APROBADO
CL856,REGULAR,9401,7458,PRE_APROBADO
CL002,REGULAR,12439,4569,RECHAZADO
CL831,PREMIUM,10412,5112,PRE_APROBADO
CL103,REGULAR,11856,13347,APROBADO
CL473,BLACK,6876,2158,RECHAZADO
CL102,REGULAR,12894,16344,RECHAZADO
CL531,PREMIUM,9827,1780,APROBADO
CL939,REGULAR,5320,4936,RECHAZADO
CL659,PREMIUM,1029,1025,PRE_APROBADO
CL802,PREMIUM,2106,1255,APROBADO
CL301,PREMIUM,1887,1522,APROBADO
