idCliente,tipoCliente,ingresosMensuales,totalDeudasActuales,estadoSolicitud,nivelMorosidad
CL969,PREMIUM,12868,4384,RECHAZADO,NORMAL
CL877,REGULAR,14613,6913,APROBADO,NORMAL
CL422,PREMIUM,12416,11848,RECHAZADO,NORMAL
CL588,REGULAR,2444,1733,APROBADO,NORMAL
CL547,PREMIUM,11745,15586,RECHAZADO,NORMAL
CL742,REGULAR,12956,7821,RECHAZADO,NORMAL
CL292,PREMIUM,9009,3697,PRE_APROBADO,NORMAL
CL984,PREMIUM,10812,10856,PRE_APROBADO,NORMAL
CL605,REGULAR,1380,1188,RECHAZADO,NORMAL
CL423,REGULAR,1895,1804,RECHAZADO,NORMAL
CL416,PREMIUM,10062,9778,APROBADO,NORMAL
CL418,REGULAR,12661,5248,RECHAZADO,NORMAL
CL218,PREMIUM,2667,1665,PRE_APROBADO,NORMAL
CL093,PREMIUM,5136,2917,PRE_APROBADO,NORMAL
CL059,REGULAR,12012,678,RECHAZADO,NORMAL
CL342,BLACK,1805,1308,APROBADO,NORMAL
CL836,REGULAR,1041,1012,PRE_APROBADO,NORMAL
CL894,REGULAR,1747,830,APROBADO,NORMAL
CL271,REGULAR,7050,5539,RECHAZADO,NORMAL
CL829,REGULAR,14282,13212,PRE_APROBADO,NORMAL
CL923,PREMIUM,13669,2220,RECHAZADO,EN_MORA
CL427,PREMIUM,9701,9339,PRE_APROBADO,NORMAL
CL620,PREMIUM,8521,2941,PRE_APROBADO,NORMAL
CL081,PREMIUM,8473,8178,RECHAZADO,NORMAL
CL275,REGULAR,8208,5550,RECHAZADO,NORMAL
CL140,PREMIUM,5802,5505,RECHAZADO,NORMAL
CL420,PREMIUM,3790,1313,APROBADO,NORMAL
CL391,PREMIUM,14467,11682,PRE_APROBADO,NORMAL
CL928,PREMIUM,3374,2915,APROBADO,NORMAL
CL231,PREMIUM,13012,3927,RECHAZADO,NORMAL
CL265,PREMIUM,14684,5329,PRE_APROBADO,NORMAL
CL521,REGULAR,14870,11877,PRE_APROBADO,NORMAL
CL820,REGULAR,12132,8737,PRE_APROBADO,NORMAL
CL803,REGULAR,7073,8859,RECHAZADO,NORMAL
CL723,PREMIUM,7587,4765,APROBADO,NORMAL
CL506,REGULAR,2591,1344,RECHAZADO,NORMAL
CL824,PREMIUM,14675,10505,PRE_APROBADO,NORMAL
CL968,REGULAR,4867,7260,RECHAZADO,NORMAL
CL084,PREMIUM,6560,11178,PRE_APROBADO,NORMAL
CL316,REGULAR,13233,10097,PRE_APROBADO,NORMAL
CL168,PREMIUM,2544,2033,RECHAZADO,NORMAL
CL120,REGULAR,1379,2809,PRE_APROBADO,NORMAL
CL212,PREMIUM,10487,5893,APROBADO,NORMAL
CL100,PREMIUM,2322,1723,RECHAZADO,NORMAL
CL285,REGULAR,9866,7458,RECHAZADO,NORMAL
CL886,PREMIUM,11864,388,APROBADO,NORMAL
CL678,REGULAR,13868,4351,APROBADO,NORMAL
CL749,PREMIUM,8474,3938,APROBADO,NORMAL
CL061,REGULAR,3316,2244,APROBADO,NORMAL
CL431,BLACK,7535,5414,RECHAZADO,NORMAL
CL309,BLACK,1780,1270,PRE_APROBADO,NORMAL
CL745,REGULAR,11527,8872,RECHAZADO,NORMAL
CL001,PREMIUM,13926,13425,PRE_APROBADO,NORMAL
CL140,PREMIUM,8777,5976,APROBADO,NORMAL
CL856,PREMIUM,13917,16074,PRE_APROBADO,NORMAL
CL497,REGULAR,6336,3835,APROBADO,NORMAL
CL165,REGULAR,12799,16965,RECHAZADO,NORMAL
CL836,PREMIUM,9965,2969,PRE_APROBADO,NORMAL
CL155,REGULAR,3194,2689,APROBADO,NORMAL
CL711,REGULAR,3742,2439,PRE_APROBADO,NORMAL
CL553,PREMIUM,7928,7336,APROBADO,NORMAL
CL692,PREMIUM,9462,13725,PRE_APROBADO,NORMAL
CL838,PREMIUM,14327,12283,RECHAZADO,NORMAL
CL431,PREMIUM,12338,7638,APROBADO,NORMAL
CL600,PREMIUM,8292,3025,APROBADO,NORMAL
CL491,PREMIUM,9087,4362,APROBADO,NORMAL
CL490,PREMIUM,13671,18355,RECHAZADO,NORMAL
CL575,REGULAR,5746,1406,RECHAZADO,NORMAL
CL318,REGULAR,12188,6867,RECHAZADO,NORMAL
CL756,PREMIUM,5069,1960,RECHAZADO,NORMAL
CL666,PREMIUM,12952,9554,RECHAZADO,NORMAL
CL660,PREMIUM,2034,2016,PRE_APROBADO,NORMAL
CL124,PREMIUM,13053,7636,APROBADO,NORMAL
CL839,REGULAR,13448,286,RECHAZADO,NORMAL
CL974,PREMIUM,10334,2232,PRE_APROBADO,NORMAL
CL320,PREMIUM,5464,1664,APROBADO,NORMAL
CL739,PREMIUM,10511,8045,PRE_APROBADO,NORMAL
CL303,PREMIUM,7693,3317,PRE_APROBADO,NORMAL
CL919,PREMIUM,4718,791,RECHAZADO,NORMAL
